[2026-09-12 22:16:42] ATTACK DETECTED | protocol=private | service=REJ | flag=0 | tier=LOW
[2026-09-12 22:16:42] ATTACK DETECTED | protocol=private | service=REJ | flag=0 | tier=LOW
[2026-09-12 22:16:42] ATTACK DETECTED | protocol=private | service=REJ | flag=0 | tier=LOW
[2026-09-12 22:16:42] ATTACK DETECTED | protocol=telnet | service=S0 | flag=0 | tier=LOW
[2026-09-12 22:16:42] ATTACK DETECTED | protocol=private | service=REJ | flag=0 | tier=LOW
[2026-09-12 22:16:43] ATTACK DETECTED | protocol=ldap | service=REJ | flag=0 | tier=LOW
[2026-09-12 22:16:43] ATTACK DETECTED | protocol=courier | service=REJ | flag=0 | tier=LOW
[2026-09-12 22:16:43] ATTACK DETECTED | protocol=discard | service=RSTO | flag=0 | tier=LOW
[2026-09-12 22:16:43] ATTACK DETECTED | protocol=private | service=S0 | flag=0 | tier=MEDIUM
[2026-09-12 22:16:43] ATTACK DETECTED | protocol=mtp | service=REJ | flag=0 | tier=LOW
[2026-09-12 22:17:08] ATTACK DETECTED | protocol=ftp_data | service=SF | flag=12983 | tier=MEDIUM
[2026-09-12 22:17:08] ATTACK DETECTED | protocol=http | service=SF | flag=267 | tier=LOW
[2026-09-12 22:17:08] ATTACK DETECTED | protocol=smtp | service=SF | flag=1022 | tier=LOW
[2026-09-12 22:17:08] ATTACK DETECTED | protocol=http | service=SF | flag=327 | tier=LOW
[2026-09-12 22:17:09] ATTACK DETECTED | protocol=smtp | service=SF | flag=616 | tier=LOW
[2026-09-12 22:17:09] ATTACK DETECTED | protocol=telnet | service=SF | flag=773 | tier=LOW
[2026-09-12 22:17:09] ATTACK DETECTED | protocol=http | service=SF | flag=350 | tier=LOW
[2026-09-12 22:17:09] ATTACK DETECTED | protocol=http | service=SF | flag=213 | tier=LOW
[2026-09-12 22:17:09] ATTACK DETECTED | protocol=http | service=SF | flag=246 | tier=LOW
[2026-09-12 22:17:10] ATTACK DETECTED | protocol=private | service=SF | flag=45 | tier=LOW
[2026-09-12 22:17:21] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
[2026-09-12 22:17:21] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
[2026-09-12 22:17:22] ATTACK DETECTED | protocol=tcp | service=private | flag=S0 | tier=HIGH
[2026-09-12 22:17:22] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:22] ATTACK DETECTED | protocol=tcp | service=imap4 | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:22] ATTACK DETECTED | protocol=tcp | service=mtp | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:23] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:24] ATTACK DETECTED | protocol=tcp | service=discard | flag=RSTO | tier=MEDIUM
[2026-09-12 22:17:24] ATTACK DETECTED | protocol=tcp | service=systat | flag=S0 | tier=HIGH
[2026-09-12 22:17:25] ATTACK DETECTED | protocol=tcp | service=courier | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:25] ATTACK DETECTED | protocol=tcp | service=iso_tsap | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:25] ATTACK DETECTED | protocol=tcp | service=telnet | flag=S0 | tier=MEDIUM
[2026-09-12 22:17:25] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
[2026-09-12 22:17:26] ATTACK DETECTED | protocol=tcp | service=ldap | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:26] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
[2026-09-12 22:17:56] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
[2026-09-12 22:17:57] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
[2026-09-12 22:17:57] ATTACK DETECTED | protocol=tcp | service=private | flag=S0 | tier=HIGH
[2026-09-12 22:17:57] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:58] ATTACK DETECTED | protocol=tcp | service=imap4 | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:58] ATTACK DETECTED | protocol=tcp | service=mtp | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:58] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=MEDIUM
[2026-09-12 22:17:59] ATTACK DETECTED | protocol=tcp | service=discard | flag=RSTO | tier=MEDIUM
[2026-09-12 22:18:00] ATTACK DETECTED | protocol=tcp | service=systat | flag=S0 | tier=HIGH
[2026-09-12 22:18:00] ATTACK DETECTED | protocol=tcp | service=courier | flag=REJ | tier=MEDIUM
[2026-09-12 22:18:00] ATTACK DETECTED | protocol=tcp | service=iso_tsap | flag=REJ | tier=MEDIUM
[2026-09-12 22:18:00] ATTACK DETECTED | protocol=tcp | service=telnet | flag=S0 | tier=MEDIUM
[2026-09-12 22:18:01] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
[2026-09-12 22:18:01] ATTACK DETECTED | protocol=tcp | service=ldap | flag=REJ | tier=MEDIUM
[2026-09-12 22:18:02] ATTACK DETECTED | protocol=tcp | service=private | flag=REJ | tier=HIGH
